Modalidad;actividad;descripcion;lugar;direccion;calle;altura;barrio;comuna;fecha_ini;fecha_fin;tipo;tipo_actividad;disciplina;publico_objetivo;suspende_por_lluvia;gratuita;long;lat;links
Presencial;Taller de teatro infantil;El taller propone explorar las posibilidades del cuerpo, la voz y el movimiento. Mediante ejercicios lúdicos vamos a actuar como un personaje salido de las escenografías que propone Sergio De Loof;MUSEO DE ARTE MODERNO DE BUENOS AIRES;;AV. SAN JUAN;350.0;SAN TELMO;1.0;2020-02-17;2020-02-17;Actividad;Formación;Artes Escénicas;Niños (4-7);No;Si;-58.3707230150043;-34.6218932900146;
Presencial;Los Carlinga Shakespir Show;"Los Carlinga es una banda literaria; Shakespir Show, un espectáculo basado en las tragedias y comedias de William Shakespeare. Su misión: llevar la lírica shakesperiana al campo de lo popular.";ESCENARIO GALLO;;GUARDIA VIEJA ENTRE AGÜERO Y GALLO;;ALMAGRO;5.0;2020-02-01;2020-02-01;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.4130931964921;-34.6024616393958;
Presencial;"""La vis cómica"", de Mauricio Kartun";Escrita y dirigida por Mauricio Kartun. La inefable compañía teatral de Angulo desembarca en la Buenos Ayres virreinal, embarrada y contrabandista. El vínculo, a menudo ruinoso, entre artistas y poder;TEATRO SAN MARTÍN;;AVENIDA CORRIENTES;1530.0;SAN NICOLÁS;1.0;2020-02-14;2020-02-14;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.3886391689903;-34.6042417731319;
Presencial;Visitas a la casa y el jardín;Recorridos participativos para disfrutar en grupo y descubrir juntos el museo, el Jardín Andaluz y su historia.;MUSEO DE ARTE ESPAÑOL ENRIQUE LARRETA;;JURAMENTO;2291.0;BELGRANO;13.0;2020-01-19;2020-01-19;Actividad;Visita / Recorrido;Patrimonio Material;Público General;No;Si;-58.4552642527823;-34.5611286837468;
Presencial;Nidos de Tela;Espacio de juego lúdico a base de recortes textiles con los cuales los niños podrán trabajar diferencias colorimétricas y de textura.;MUSEO DE ARTES PLÁSTICAS EDUARDO SÍVORI;;AV. INFANTA ISABEL;555.0;PALERMO;14.0;2020-02-26;2020-02-26;Actividad;Encuentro;Artes Visuales;Primera infancia (0-3);No;Si;-58.4179707;-34.5691316;
Presencial;Taller de Arte Textil del CC La Casita de la Selva;Inauguración de Muestra: Se presenta un mural realizado entre las integrantes del taller, de manera horizontal y colaborativa.;ESPACIO CULTURAL CHACRA DE LOS REMEDIOS;;AV. DIRECTORIO Y LACARRA;;PARQUE AVELLANEDA;9.0;2020-02-22;2020-02-29;Actividad;Exposición;Artes Visuales;Público General;No;Si;-58.4799281761459;-34.6413019743389;
Presencial;Naturaleza Trans;Esta obra indaga en cómo la mirada construye y destruye al otro, desde lo personal, lo colectivo, lo social y lo legal. Es el ojo el que determina y nos coloca de un lado o del otro.;DUMONT 4040;DUMONT, SANTOS 4040;DUMONT, SANTOS;4040.0;CHACARITA;15.0;2020-01-27;2020-01-28;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.44996377806653;-34.58867003755643;https://festivales.buenosaires.gob.ar/2019/fiba/es/home
Presencial;Introducción a la fotografía;Propuesta dirigida a quienes buscan aprender a manejar sus cámaras y empezar a conocer la técnica y el lenguaje de la fotografía. Por Gus Demaría.;MUSEO DE ARTES PLÁSTICAS EDUARDO SÍVORI;;AV. INFANTA ISABEL;555.0;PALERMO;14.0;2020-02-06;2020-02-06;Actividad;Formación;Artes Visuales;Público General;No;Si;-58.4179707;-34.5691316;
Presencial;Taller introductorio al mundo de las arpilleras;Con un retazo de tela, hilo y aguja se propone producir arpilleras que reflejen las experiencias vividas. A cargo de Ana Zlatkes.;MUSEO DE ARTES PLÁSTICAS EDUARDO SÍVORI;;AV. INFANTA ISABEL;555.0;PALERMO;14.0;2020-02-17;2020-02-17;Formación;0;Diseño;Público General;No;Si;-58.4179707;-34.5691316;
Presencial;Taller de danzas del mundo y juegos;"""Divertida propuesta que pone en juego el universo imaginario y poético
corporal, por Jesica Mara.""";USINA DEL ARTE;;AGUSTÍN R. CAFFARENA;1.0;LA BOCA;4.0;2020-02-15;2020-02-15;Actividad;Formación;Otros;Niños (4-7);No;Si;-58.3570997;-34.6287761;
Presencial;La arena  y el agua;Obra de Teatro, muy entretenida para chicos en edad escolar, que trata el tema de la comunicación, el miedo a lo nuevo;ANFITEATRO EVA PERÓN;;LEOPOLDO MARECHAL Y LILLO;832.0;CABALLITO;6.0;2020-01-18;2020-01-18;Actividad;Ciclo;Artes Escénicas;Niños (4-7);Si;Si;-58.4375564;-34.6051091;www.teatrolagalera.com.ar
